name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Espresso Mandarina,Amavida Coffee Roasters,Medium,United States,Congo,Ethiopia,4.98,94,Jun-19,"Evaluated as espresso. Spice-toned, fruit-forward. Dried raspberry, cinnamon, dark chocolate, almond butter, narcissus in aroma and small cup. Crisp, satiny texture; resonant, flavor-saturated finish. In three parts milk, balanced and chocolaty, with lingering spice notes.","This exceptional coffee was selected as the No. 21 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. This coffee also tied for the highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A blend of coffees including a wet-processed Red Bourbon variety of Arabica from the Democratic Republic of the Congo and natural-processed Ethiopia. This coffee is certified organically grown and certified fair trade, the latter meaning it was purchased at no less than a minimum price determined by the certifying agency to be economically sustainable for the farmers. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For further information visit www.amavida.com or call 850-213-1965.","A juicy, balanced espresso blend, both in the straight shot—where berry notes predominate—and in milk—where chocolate frames the fruit and florals."
SOB Espresso,Folly Coffee Roasters,Medium,United States,Colombia,Congo,5.57,94,Jun-19,"Evaluated as espresso. Deeply chocolaty, richly floral. Chocolate fudge, lilac, peach, fresh-cut cedar, hazelnut butter in aroma and small cup. Crisp, satiny-smooth mouthfeel; the deep, long, resonant finish maintains all of the aroma and flavor notes from the cup. Also profoundly satisfying in three parts milk, with chocolate and florals in a slow dance and fruit returning to the surface in the long finish.","This coffee tied for the highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A single-origin blend of coffees from various Inza smallholder farmers in Colombia and comprised of the Castillo, Caturra and Colombia varieties of Arabica. Visit www.follycoffee.com for more information.","An unusually successful “melange” coffee in which the same blend of green beans is roasted both darker and lighter, then combined. This version hits all of the notes associated with a complete, classic espresso: rich, resounding, chocolaty, floral and fruit-toned."
José Flores El Salvador Natural,Duluth Coffee,Medium,United States,Chalatenango Department,Northwestern El Salvador,9.92,91,Aug-19,"A deep sweetness and considerable complexity resonate impressively inside a bitter-savory structure. Hints of blueberry and guava, spearmint, cocoa, rose, a hint of clove in aroma and cup. Fully, syrupy mouthfeel. Flavor carries persuasively into a rich though bittersweet finish."," This coffee tied for the fourth-highest rating in a tasting of El Salvador coffees for Coffee Review’s August 2019 tasting report. Produced from trees of the much admired, bold-bean Pacamara variety of Arabica, a cross between the giant-beaned Maragogipe variety and Pacas, a selection of the heirloom Bourbon, by José Flores at his farm El Trompillo. Processed by the natural method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. A prize winner in the 2019 Chalatenango Best Cup competition organized by importer Cafe Imports designed to promote quality practices among local producers. Duluth Coffee is a cafe and wholesale specialty roaster founded in 2012 in downtown Duluth, Minnesota by Eric Faust. Visit www.duluthcoffeecompany.com for further information.","Almost two coffees, one dominated by a bracing bitter-leaning structure, the other sweet and complexly aromatic. Enjoy it for its paradox and its particularly syrupy mouthfeel."
Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,Light,Taiwan,Gedeb District,Gedeo Zone,4.96,94,Aug-19,"High-toned, sweetly tart, deeply savory. Jasmine, dark chocolate, lemon verbena, pink grapefruit zest, candycap mushroom in aroma and cup. Balanced sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. The flavor-saturated finish leads with citrus notes (lemon verbena, grapefruit) in the short, rounding to deep chocolate and sweet mushroom in the long.","Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a “natural” or dry-processed version processed at the Alemayehu Tilahun washing station. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. MJ Bear is a small roaster based in New Taipei City, Taiwan. Visit https://www.mjbearcoffee.store for more information.","A complex, umami- and citrus-driven natural-processed Ethiopia cup that hits all the pleasure spots: sweet, tart and savory in harmonious balance."
Nayo Ovalle Guatemala,Coava Coffee Roasters,Light,United States,La Libertad,Huehuetenango,4.26,92,Oct-19,"Deeply sweet, nut-toned. Hazelnut butter, baker’s chocolate, magnolia, oak forest, agave syrup in aroma and cup. Sweet-toned structure with brisk acidity; satiny-smooth mouthfeel. The gentle finish consolidates to hazelnut and chocolate tones with a hint of rich aromatic wood in the long.","Produced by Renardo Ovalle Vides of the San Ramon, Bourbon and Caturra varieties of Arabica and processed by the wet or washed method (fruit skin and pulp are removed before drying). Coava is a Portland-based coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.","A balanced, sweetly nut-driven cup with pretty notes of baker’s chocolate and hints of oak forest that linger into the finish."
Indonesia Sumatra Gayo Espresso,Simon Hsieh's Aroma Roast Coffees,Dark,Taiwan,Gayo (Also Aceh) Growing Region,Aceh Province,8.5,94,Oct-19,"Evaluated as espresso. Very rich and deeply sweet. Dark chocolate, dried cherry, singed cedar, lilac, candy cap mushroom with layered complexity in aroma and small cup. Very thick, syrupy mouthfeel; the finish consolidates to smoky cocoa and sweetly savory mushroom. In three parts milk, the cup is very chocolaty, sweet and floral with an umami throughline. ","While most coffees from this region are processed by wet-hulling, this coffee was double-washed in the style of many Kenya coffees. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","Roast-prominent yet thoroughly integrated, this espresso offers a compelling sweet-savory depth for those who enjoy the style."
Costa Rica Brunca Finca Vista Passion Honey,94 Fresh Coffee,Medium,Taiwan,Brunca,Costa Rica,5.64,93,Nov-19,"Sweetly tart, very lightly fermenty. Chocolate liqueur, lime zest, hints of peach and strawberry, mint, cedar in aroma and cup. Very sweet but crisply bitter/tart in structure; light, plushly buoyant mouthfeel. Drying but deep in the finish, with pleasing liqueur-like chocolate notes persisting.","This Costa Rica was processed by a refined variation on the honey method (coffee fruit is pulped or skinned but dried in the fruit flesh or mucilage). 94 Fresh Coffee is a specialty coffee roaster based in Kaohsiung City that specializes in espresso, including training and machine sales. Visit https://94freshcoffee718.shoplineapp.com for more information.",A sweet but brisk cup saturated by a seductive sweet chocolate and a lively lime-like citrus. 
Colombia Huila,Baba Java Coffee,Light,United States,Huila Department,Colombia,5.29,91,Oct-19,"Crisp, bright, savory-sweet. Cashew brittle, lemon blossom, tamarind, cedar, herbed goat cheese in aroma and cup. Tart-savory structure with brisk acidity; lightly satiny mouthfeel. The finish resonates with notes of citrus, sweet nuts and herbs.",A wet-processed coffee produced entirely from the leaf-rust-resistant interspecies hybrid variety Castillo. Baba Java is a specialty roaster and cafe retailer located in Hoover Alabama that strives to provide the best coffee experience at every step. Visit www.babajavacoffee.com or call 205-777-5984 for more information.,"An intensely bright coffee with attractive, savory-leaning undertones."
Signature Blend,Q Burger,Medium,Taiwan,Ethiopia,Sumatra,1.97,91,Nov-19,"Crisply sweet, nut-toned. Almond, caramel, freesia, green apple, cedar in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Finish consolidates to almond and caramel tones.","A blend of washed-process coffees from Ethiopia, Colombia and Guatemala, as well as a wet-hulled coffee from Sumatra and a natural-processed coffee from Brazil. Q Burger is a fast-casual burger restaurant in New Taipei, Taiwan. Visit https://www.qburger.com.tw/ for more information.","A straightforward, accessible blend that mirrors the fast-casual restaurant setting in which it’s served."
Finca La Montana Costa Rica,Press House Coffee,Medium,United States,Tarrazu,Costa Rica,4.03,92,Jan-20,"Cocoa- and fruit-driven. Dark chocolate, dried apricot, gently scorched oak, lime zest, gardenia in aroma and cup. Sweet in structure with gentle, round acidity; lightly syrupy mouthfeel. The finish consolidates to wood-framed dark chocolate and dried apricot. ",Produced by Jorge Gutierrez Jiminez from trees of the Caturra and Catuai varieties of Arabica. Press House ships freshly roasted specialty coffees to the customer’s door within 72 hours of roasting for peak freshness. The company refines the profile of every single roast it offers through experimentation and discovery. Visit www.presshousecoffee.com for more information.,A richly sweet and fruit-forward Costa Rica cup with a developed roast profile that highlights chocolate and floral tones.
Kenya FSC AB,Black Coffee In Black Jar,Medium,Taiwan,Kirinyaga District,South-Central Kenya,32,94,Dec-19,"Richly sweet, deeply chocolaty. Chocolate fudge, red currant, wisteria, cedar, agave syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity; plush, viscous mouthfeel. Quiet finish centered around notes of chocolate, wisteria and cedar.","Produced from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.","A big, chocolaty Kenya cup with deep floral notes throughout and a particularly engaging, syrupy-smooth body."
El Salvador Pacamara Honey,Black Coffee In Black Jar,Medium,Taiwan,Apaneca,El Salvador,32,90,Dec-19,"Sweetly wood-framed, spice-toned. Fresh-cut fir, date, baking chocolate, freesia, black peppercorn in aroma and cup. Sweet structure with low-toned acidity; velvety mouthfeel. Wood-framed finish supported by notes of date and baking chocolate.","Produced at Finca Santa Leticia entirely of the Pacamara variety of Arabica and processed by the honey method. With all honey processing methods, some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.","An aromatic-wood-framed, honey-processed Pacamara from El Salvador with depth from cocoa and spice tones."
Honduras Atanacio Nolasco,3-19 Coffee,Medium,United States,Santa Elena,La Paz,5.29,90,Feb-20,"Crisp, sweetly nut-toned. Hazelnut, red apple, cocoa nib, pink peppercorn, fresh-cut fir in aroma and cup. Sweet-toned structure with crisp, gentle acidity; full, satiny mouthfeel. Finish consolidates to hazelnut and fir with a hint of red apple.","This coffee tied for the fourth-highest rating in a cupping of single-origin coffees available in U.S. supermarkets for Coffee Review’s February 2020 report. Purchased at a Whole Foods Market in Berkeley, California. Produced by Atanacio Nolasco of El Tucan farm, entirely of the Catuaí variety of Arabica, and processed by the washed method (fruit skin and pulp is removed before drying). 3-19 Coffee was founded in San Francisco and operates a café in Cleveland, Ohio. Visit www.319coffee.com for more information.","A pleasing, balanced Honduras cup with pretty nut tones throughout."
Sidamo Suke Quto,Signature Reserve,Medium,United States,Sidamo (Also Sidama) Growing Region,Southern Ethiopia,3.32,90,Feb-20,"Cocoa- and citrus-toned. Orange zest, cocoa powder, magnolia, almond, oak in aroma and cup. Sweet-tart structure with brisk acidity; full, satiny mouthfeel. Wood-framed finish with supporting notes of orange zest and cocoa powder.","This coffee tied for the fourth-highest rating in a cupping of single-origin coffees available in U.S. supermarkets for Coffee Review’s February 2020 report. Purchased at a Safeway supermarket in Alameda, California. Processed by the washed method (fruit skin and pulp are removed before drying). Roasted and packaged by Better Living Brands for Safeway, a subsidiary of Albertsons (based in Boise, Idaho). Visit www.safeway.com for more information.",A medium-roasted Ethiopia cup with pleasing cocoa and citrus notes throughout; wood-centered in the finish.
Guatemala (from bulk bin),Cameron’s Coffee,Medium,United States,Guatemala,Sidamo (Also Sidama) Growing Region,1.54,89,Feb-20,"Balanced, sweet-toned. Baking chocolate, almond, date, molasses, magnolia in aroma and cup. Bittersweet structure with little perceptible acidity; satiny-smooth mouthfeel. A rather muted finish centers around almond and baking chocolate. ","This coffee was tested as part of a survey of single-origin coffees available in U.S. supermarkets for Coffee Review’s February 2020 report. Purchased at a Woodman’s Market in Madison, Wisconsin. Cameron’s Coffee, based in Shakopee, Minnesota, specializes in single-origin specialty coffees and blends designed for the home consumer. Visit www.cameronscoffee.com for more information.",A good-value darker roasted Guatemala driven by quiet chocolate and nut notes.
Sumatra Dark,Starbucks Coffee,Dark,United States,Sumatra,Indonesia,3.08,87,Feb-20,"Roast-dominant, smoky-sweet. Dark chocolate, burned mesquite, lily, prune, fresh earth in aroma and cup. Bittersweet structure with barely perceptible acidity; heavy, smooth mouthfeel. Persistent dark chocolate notes lift a rather bitter, earthy finish.","This coffee was tested as part of a survey of single-origin coffees available in U.S. supermarkets for Coffee Review’s February 2020 report. Purchased at a Publix supermarket in Winston-Salem, North Carolina. Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices. Visit www.starbucks.com for more information.","A good choice for those who like classic dark-roasted Sumatras: earthy-sweet, smoky chocolate."
Dadaocheng Garden Blend Espresso,GK Coffee,Medium,Taiwan,Ethiopia,Guatemala,5.6,94,Feb-20,"Evaluated as espresso. Rich-toned, fruit-forward and chocolaty. Chocolate fudge, dried apricot, almond paste, sandalwood, molasses in aroma and small cup. Viscous, syrupy mouthfeel; a resonant finish centers around chocolate fudge and dried apricot. In three parts milk, almost dessert-like in its richness.","A blend of coffees from Yirgacheffe and Sidama, Ethiopia and Guatemala roasted for espresso and created for DG Cafe in Taipei, Taiwan. GK Coffee provides quality specialty coffee to consumers and retailers. For more information, visit www.gkcoffee.com.tw or email [email protected]","A balanced, bright, juicy espresso. Chocolate and dried stone fruit are the throughlines, both particularly amplified in three parts milk. "
Ethiopia Sidama Bombe Natural,Fire Ridge Coffee,Medium,United States,Jimma Zone,Oromia State,5.29,93,Apr-20,"Cleanly fruit-forward. Ripe strawberry, bay (wood and leaf), cocoa nib, freesia-like flowers, pink peppercorn in aroma and cup. Sweet-savory structure with fruity acidity; plush, satiny mouthfeel. The finish is all strawberry, supported by notes of fresh-picked bay leaf.","This coffee tied for the third-highest rating in a cupping of coffees from roasters in the northwestern U.S. for Coffee Review’s April 2020 tasting report. Certified organic. Southern Ethiopia coffees like this one are largely produced from distinctive indigenous varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Fire Ridge Coffee is a small, family-owned roastery in Missoula, Montana devoted to responsible sourcing and careful roasting. Visit www.fireridgecoffee.com for more information.",A superb choice for those who like fruit-driven coffees without fermenty alcohol notes — berry tones are front and center.
Kona Maragogype,Rusty's Hawaiian,Medium,Hawai'i,Kona Growing Region,Big Island Of Hawai'I,17.64,93,Jun-20,"Deep-toned, richly sweet-savory. Dark chocolate, hop flowers, lychee, sandalwood, almond brittle in aroma and cup. Sweet-savory structure with round, gentle acidity; plush, creamy mouthfeel. The resonant finish is redolent with notes of almond brittle and lychee.","Produced at Aloha Hills Farm and processed by the wet, or washed method, (fruit skin and pulp are removed before drying). Maragogype is a seldom-grown variety of Arabica that produces enormous beans. Visit www.rustyshawaiian.com or call 808-928-8916 for more information.","A rare, small-production Hawaii-grown Maragogype worth going out of your way for: complex, multi-layered, rich and deep."
Titan Blend (FTO),Wheelys Café Taiwan,Medium,Taiwan,Ethiopia,Colombia,6.08,93,Aug-20,"Evaluated as espresso. High-toned, richly sweet-tart. Red plum, dark chocolate, almond nougat, lemon verbena, cedar in aroma and small cup. Crisp, velvety mouthfeel; chocolaty finish with hints of almond nougat and plum. In cappuccino-scaled milk a lily-like floral note surfaces. ","A blend of coffees from Ethiopia, Colombia and Guatemala, all certified fair trade and organic, roasted for espresso. Wheelys Café Taiwan is a certified-organic mobile café with the mission of linking people together with great coffee. Visit http://www.wheelys.com.tw for more information.","Deep, rich, chocolaty: an espresso blend with top notes of stone fruit and bottom notes of dark chocolate and cedar."
Limu Ethiopia Natural,BLK & Bold,Light,United States,Jimma Zone,Oromia State,4.12,94,Aug-20,"Cleanly fruit-toned, tropical. Passion fruit, pineapple, honey, hazelnut, a hint of fresh yogurt in aroma and cup. Tart-leaning structure with bright acidity; plush, nectar-like mouthfeel. Finish simplifies to notes of crisply sweet pineapple with hazelnut undertones.","This coffee tied for the second-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Certified fair trade. Limu (also Limmu) is a growing region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the area. Processed by the natural method (dried in the whole fruit). BLK & Bold pledges 5% of its profits to initiatives aligned to sustaining youth programming, enhancing workforce development, and eradicating youth homelessness. Visit www.blkandbold.com for more information.","A delightful fruit bomb of a coffee with an intriguing lactic acid note, perhaps due to processing: deeply sweet, richly aromatic, and compellingly original."
Ethiopia Guji Natural,Portrait Coffee,Light,United States,Guji Zone,Oromia Region,5.29,94,Aug-20,"Deeply sweet, rich-toned, bright and lively. Red grape, baking chocolate, marshmallow, macadamia nut, lime zest in aroma and cup. Sweet in structure with bright, balanced acidity; full, satiny-smooth mouthfeel. The cleanly fruit-toned finish is pleasantly complicated by notes of macadamia nut and lime zest.",This coffee tied for the second-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Atlanta’s Portrait Coffee was designed “to change the picture that comes to mind when folks think of specialty coffee — to include the black and brown folks who have been cropped out.” Visit www.portrait.coffee for more information.,"A friendly natural-processed Ethiopia cup with a fruit-centered character balanced by deep, creamy nut tones and lively lime zest."
Ka’u Classic Medium Roast,Rusty's Hawaiian,Medium,Hawai'i,Ka'U Growing District,"""Big Island"" Of Hawai’I",9.57,93,Aug-20,"Floral-toned, richly aromatic, chocolaty. Elegantly sweet structure with Meyer lemon-like acidity; full, viscous mouthfeel. Apricot, honey, lavender, baking chocolate, a hint of pipe tobacco in aroma and cup. The inviting finish leads with notes of baking chocolate and apricot, with pipe tobacco resurfacing in the long.","This coffee tied for the third-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Ka’u is an emerging Hawai’i coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This 100% Ka’u coffee was developed by Lorie Obra of Rusty’s, one of Ka’u’s best-known and most celebrated farms. Produced from trees of the traditional Typica variety and processed by the washed method. Visit www.rustyshawaiian.com or call 808-928-8916 for more information.","A classic Typica profile — nuanced, balanced and quietly complex — with notes of stone fruit, chocolate and an intriguing whisper of pipe tobacco."
East Fourteenth,Red Bay Coffee,Medium,United States,Mbeya,Tanzania,5.58,92,Aug-20,"Low-toned, deep, richly sweet. Dried fig, dark chocolate, pistachio, gardenia, spice box in aroma and cup. Sweet-toned structure with gentle, round acidity; big, creamy mouthfeel. The finish is all about dark chocolate, with hints of fig and gardenia.","This coffee tied for the fourth-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Red Bay Coffee Roasters was founded in 2014 by Keba Konte, a renowned artist and successful food entrepreneur with deep roots in the San Francisco Bay Area specialty coffee and hospitality industry. Red Bay seeks to create unity by hiring and serving people of all backgrounds, and striving to be diverse and inclusive of those who have traditionally been left out of the specialty coffee industry: people of color, the formerly incarcerated, women and people with disabilities. Visit www.redbaycoffee.com for more information.","A deftly darker-roasted Tanzania cup, profiled to bring out the inherent dark chocolate potential of the green coffee, but without introducing woody or roasty notes."
Kenya Kapsakiso,RND,Medium,United States,Bungoma Region,Western Kenya,5.58,92,Aug-20,"Richly chocolaty, sweetly herbaceous. Chocolate fudge, lemon verbena, blackberry, agave syrup, cedar in aroma and cup. Sweetly tart structure with juicy, citrusy acidity; velvety mouthfeel. The resonant finish consolidates to notes of blackberry, chocolate fudge, and cedar.","This coffee tied for the fourth-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. From the slopes of Mt. Elgon in far western Kenya rather than from the more familiar growing regions of central Kenya. Produced by the approximately 1,000 small-holding members of the Kapsakiso cooperative from trees of the admired SL28 and SL34 varieties of Arabica and processed by the washed method. RND, aka Roasters Next Door, is a Roanoke, Virginia-based specialty coffee roastery and coffee lounge. Visit www.roanokecoffee.com for more information.","A friendly, inviting Kenya cup: chocolaty and berry-driven with especially vibrant acidity."
Colombia Huila Geisha Las Mieles,Dr. Bean's Coffee Roasters,Light,United States,Huila,Colombia,13.52,92,Aug-20,"Deep-toned, richly sweet. Cherry, brown sugar, grapefruit zest, dark chocolate, baking spices in aroma and cup. Sweet structure with round, lively acidity; crisply smooth, velvety mouthfeel. Baking spices and dark chocolate characterize the inviting finish.","This coffee tied for the fourth-highest rating in a cupping of coffees roasted by Black-owned coffee companies for Coffee Review’s August 2020 report. Produced by members of the Terra Association entirely of the Geisha variety of Arabica and processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Dr. Bean’s is a small-batch coffee roaster and café based in Memphis, Tennessee. Visit https://dr-beans-coffee-and-tea.myshopify.com/ for more information.",An accessible honey-processed Colombia Geisha with notes of chocolate and baking spices as pleasing throughline.
Amazon Haze,421 Brew House,Medium,Canada,Guatemala,Rwanda,5,86,Aug-20,"Cocoa-toned, gently roasty. Cocoa powder, lightly scorched cedar, Brazil nut, raisin, lily in aroma and cup. Sweet-savory structure with barely perceptible acidity; velvety, heavyish mouthfeel. Gently drying wood-framed finish with hints of cocoa powder and lily.","A single-origin washed-process coffee from Guatemala. 421 Brew House is a specialty coffee roaster founded in 2019 in Calgary, Alberta, Canada. Visit www.421brewhouse.com for more information.",A darker-roasted Guatemala cup that foregrounds notes of lightly scorched aromatic wood and sweet cocoa powder.
Organic Sumatra,Emiliani Coffee,Medium,United States,Aceh,Sumatra,4.28,91,Aug-20,"Richly and sweetly earth-toned. Fresh humus, dark chocolate, gently scorched oak, almond, red apple in aroma and cup. Sweet-savory structure with pert acidity; full, satiny mouthfeel. Resonant, gently drying finish with sweetly smoky chocolate and fresh humus notes.","Certified organic and Fair Trade. Emiliani Coffee, named after Gerolamo Emiliani, aka St. Jerome, donates $1 or every bag of coffee sold to organizations that are fighting for kids in the foster care and adoption system. Visit www.emilianicoffee.com for more information.","A classic Sumatra cup, with deep sweetness and rich earth in balance, darker-roasted to bring out the chocolate notes."
Ethiopia Wegida Natural,Wonderstate Coffee,Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.88,94,Aug-20,"Deep-toned, sweet-savory. Lychee, rose hips, sandalwood, dark chocolate, marjoram in aroma and cup. Sweet-savory structure with citrusy acidity; viscous, satiny mouthfeel. The resonant finish leads with lychee and rose hips, rounding to crisp chocolate and marjoram in the long.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for its commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar-powered roastery. Visit https://wonderstate.com/ for more information.","A very balanced, clean natural-processed Ethiopia with a sweetly herb- and stone fruit-driven palate; exceptionally pretty, plush mouthfeel."
El Salvador Finca Kilimanjaro,Equator Coffees,Medium,United States,Santa Ana Department,El Salvador,10.58,92,Sep-20,"Richly chocolaty, deeply sweet. Dark chocolate, freesia-like flowers, crisp pear, vanilla bean, cedar in aroma and cup. Sweet in structure with gentle acidity; velvety-smooth mouthfeel. Quiet, chocolaty finish with notes of pear and cedar.","This coffee tied for the third-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by Aida Batlle of Finca Kilimanjaro entirely from trees of the Bourbon and Kenia varieties of Arabica and processed by the washed method. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.",A roast leaning toward the dark end of medium encourages the chocolate and floral notes of this El Salvador produced by the celebrated Aida Batlle.
Ethiopia Chelbessa Danche,Amavida Coffee Roasters,Light,United States,Gedeb District,Gedeo Zone,5.88,93,Oct-20,"Delicately fruit-toned, floral. Strawberry, narcissus, lemon verbena, cocoa nib, cedar in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy mouthfeel. The richly sweet finish consolidates to cocoa-toned narcissus and strawberry.","Certified USDA Organic. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from indigenous varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is rounder and lower-toned than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For more information, visit www.amavida.com or call 850-213-1965.","A balanced, richly floral natural-processed Ethiopia cup redolent with sweet berry tones throughout the profile."
Colombia Asobombo Inza,Flight Coffee Co.,Light,United States,Cauca,Colombia,4.7,94,Sep-20,"High-toned, crisply sweet-tart. Concord grape, rhododendron, cocoa nib, sandalwood, maple syrup in aroma and cup. Brightly sweet structure with tart, juicy acidity; very plush, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa nib and maple syrup with undertones of Concord grape.","Produced by Asobombo, a group of small producers in the municipality of Inza Cauca, Colombia, from trees of the Caturra and Castillo varieties of Arabica, and processed by the washed method. Flight Coffee Co. is a coffee-loving, quality-focused roasting company based in Bedford, New Hampshire. Visit www.flightcoffeeco.com or call 603-836-6228 for more information.","A beautifully structured, elegantly bright Colombia coffee with lush mouthfeel and deep aromatics."
Panama Boquete Torre Lot #1 Geisha Honey,Bona Kafo Roastery,Light,Taiwan,Boquete,Panama,80,94,Sep-20,"Sweetly floral and spice-toned, delicate. Lilac, myrrh, cocoa nib, pink peppercorn, honey in aroma and cup. Balanced, sweetly tart structure with delicately vibrant acidity; very full, syrupy mouthfeel. Cocoa- and floral-toned finish.","Produced from the trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) by the Lamastus family at Elida Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Geisha/Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Bona Kafo is a Taiwan-based specialty coffee roaster. Visit www.bonakaforoastery.com.","A sweetly subtle, nuanced Geisha cup processed by the honey method at Panama’s famed Elida Estate. "
Kenya Wachuri,Equator Coffees,Medium,United States,Nyeri Growing Region,South-Central Kenya,6.47,95,Oct-20,"Sweetly spice-toned, chocolaty. Intense freesia-like flowers, dark chocolate, Concord grape, roasted macadamia nut, tangerine zest in aroma and cup. Sweetly rich tart structure with juicy acidity; lightly syrupy mouthfeel. Freesia and Concord grape notes ring on into the long finish. ","This coffee tied for the highest rating in a cupping of coffees from Kenya for Coffee Review’s October 2020 report. Composed of coffees from trees of the SL 28, Ruiru 11 and Batian varieties of Arabica and processed at the Wachuri Washing Station. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.","Richly spice-toned floral- and fruit-driven, roasted to a dark medium to enhance the chocolate notes inherent in the green."
Honduras El Retono,94 Fresh Coffee,Light,Taiwan,La Paz,Honduras,6.37,93,Dec-20,"Delicately sweet-tart, richly aromatic. Cocoa nib, green apple, orange zest, hazelnut butter, rhododendron in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; satiny mouthfeel. The nut-toned finish is enlivened by rhododendron-like florals.","Produced by Suyapa Leticia entirely of the Catuaí variety of Arabica and processed by the natural method. 94 Fresh Coffee is a specialty coffee roaster based in Kaohsiung City that specializes in espresso, including training and machine sales. Wholesale pricing available for all coffees. Visit https://www.facebook.com/94freshcoffee/ for more information.","A delicate natural-processed cup that leads with tart fruit and vanilla-like floral notes, elegant and subtly inviting."
